study_id,accuracy,accuracy_normalized,is_shuffled,num_extracted_concepts,with_keywords_comet_score,without_keywords_comet_score,comet-score_delta,with_keywords_gemba_score,without_keywords_gemba_score,gemba
s53790772,1,1,TRUE,45,0.575670183,0.629600525,-0.053930342,10,12,-2
s50908403,0,0,FALSE,41,0.61731565,0.726693273,-0.109377623,2,5,-3
s50598160,1,-1,FALSE,38,0.705824733,0.706127048,-0.000302315,5,10,-5
s53903088,-5,-5,TRUE,54,0.069759548,0.567314088,-0.497554541,5,5,0
s52069541,-1,-1,TRUE,33,0.689393282,0.722387791,-0.032994509,3,2,1
s51156464,2,2,TRUE,30,0.639245629,0.650138259,-0.01089263,15,0,15
s59183958,-2,2,FALSE,21,0.672624171,0.714733183,-0.042109013,5,0,5
s50403710,-1,-1,TRUE,33,0.627682388,0.648059189,-0.020376801,0,12,-12
s57225269,2,-2,FALSE,57,0.669832587,0.686078668,-0.01624608,5,2,3
s54934220,-1,1,FALSE,35,0.625845909,0.667314053,-0.041468143,2,35,-33
s51134115,0,0,FALSE,109,0.435528785,0.459619373,-0.024090588,12,5,7
s59470694,1,1,TRUE,28,0.606080234,0.708793759,-0.102713525,48,21,27
s52773577,0,0,TRUE,75,0.682441235,0.609923959,0.072517276,12,20,-8
s54862561,0,0,FALSE,40,0.66311276,0.645277023,0.017835736,15,8,7
s53110643,0,0,TRUE,40,0.59555769,0.56687969,0.028678,15,25,-10
s58589339,-2,2,FALSE,63,0.646705389,0.657129407,-0.010424018,5,85,-80
s50919214,-2,2,FALSE,43,0.736296773,0.619603753,0.11669302,92,45,47
s51882599,0,0,FALSE,46,0.496114314,0.580610394,-0.084496081,5,15,-10
s53918628,0,0,TRUE,47,0.654806972,0.659271657,-0.004464686,85,55,30
s55774687,0,0,TRUE,29,0.695838511,0.763430595,-0.067592084,2,10,-8
s57051117,0,0,FALSE,38,0.65088135,0.640405774,0.010475576,15,2,13
s51210979,0,0,TRUE,63,0.68843466,0.684590578,0.003844082,45,5,40
s55593730,-1,1,FALSE,47,0.581173182,0.664897919,-0.083724737,12,5,7
s56877386,1,-1,FALSE,74,0.623266816,0.609335899,0.013930917,15,30,-15
s51992175,0,0,FALSE,53,0.735383689,0.629762352,0.105621338,15,5,10
s58102795,-1,-1,TRUE,45,0.592476666,0.701895952,-0.109419286,15,2,13
s59382272,0,0,FALSE,62,0.753952742,0.724676967,0.029275775,0,24,-24
s52780896,-1,1,FALSE,51,0.625592351,0.634554863,-0.008962512,5,12,-7
s53902362,0,0,FALSE,49,0.692222357,0.653295457,0.038926899,12,12,0
s53419340,-2,2,FALSE,54,0.600127161,0.62243098,-0.02230382,0,78,-78
s51553316,-1,-1,TRUE,52,0.719688296,0.627839327,0.091848969,5,78,-73
s56128951,0,0,TRUE,73,0.757465959,0.763446093,-0.005980134,5,8,-3
s50082466,0,0,TRUE,40,0.682972848,0.763541818,-0.080568969,5,5,0
s54650268,0,0,TRUE,49,0.676167011,0.706055045,-0.029888034,2,10,-8
s59130316,1,1,TRUE,34,0.622003317,0.647233248,-0.025229931,12,3,9
s50615342,-2,2,FALSE,81,0.685688019,0.736197233,-0.050509214,12,10,2
s53205721,1,-1,FALSE,66,0.640045166,0.672697186,-0.03265202,35,2,33
