term,normalized_text,categories,failure_count,avg_confidence,translation_de,notes,verified
CHEST,Chest,"BodyStructure, ExaminationName",177,0.95,Thorax,"Failed 177 times, confidence: 0.95",TRUE
consolidation,Consolidation,SymptomOrSign,163,0.94,Konsolidierung,"Failed 163 times, confidence: 0.94",TRUE
PA,Pulmonary artery pressure,ExaminationName,128,0.95,Posteroanterior,"Failed 128 times, confidence: 0.95",TRUE
opacity,Abnormally opaque structure (morphologic abnormality),SymptomOrSign,96,0.99,Opazität,"Failed 96 times, confidence: 0.99",TRUE
man,Male population group,Gender,88,1,Mann,"Failed 88 times, confidence: 1.0",TRUE
lung,Lung,"BodyStructure, SymptomOrSign",88,0.96,Lunge,"Failed 88 times, confidence: 0.96",TRUE
lateral views,Views lateral,ExaminationName,75,0.93,Lateralansicht,"Failed 75 times, confidence: 0.93",TRUE
cough,Coughing,SymptomOrSign,68,0.99,Husten,"Failed 68 times, confidence: 0.99",TRUE
woman,Woman,Gender,62,1,Frau,"Failed 62 times, confidence: 1.0",TRUE
effusion,effusion,"Diagnosis, SymptomOrSign",59,0.95,Erguss,"Failed 59 times, confidence: 0.95",TRUE
LAT,"ORC3 protein, human",ExaminationName,58,0.95,lateral ,"Failed 58 times, confidence: 0.95",TRUE
Chest radiograph,Chest radiograph,ExaminationName,56,0.98,Röntgenaufnahme der Brust,"Failed 56 times, confidence: 0.98",TRUE
radiograph,Diagnostic radiologic examination,ExaminationName,55,0.97,Röntgenaufnahme,"Failed 55 times, confidence: 0.97",TRUE
opacities,Abnormally opaque structure (morphologic abnormality),SymptomOrSign,54,0.99,Opazitäten,"Failed 54 times, confidence: 0.99",TRUE
lateral,Lateral,ExaminationName,48,0.94,Lateral,"Failed 48 times, confidence: 0.94",TRUE
stomach,Stomach,BodyStructure,46,0.99,Magen,"Failed 46 times, confidence: 0.99",TRUE
F,Woman,Gender,46,0.97,Frau,"Failed 46 times, confidence: 0.97",TRUE
M,Male population group,Gender,45,1,Mann,"Failed 45 times, confidence: 1.0",TRUE
cardiac,Heart,"BodyStructure, SymptomOrSign",41,0.98,Kardial,"Failed 41 times, confidence: 0.98",TRUE
mediastinal,Mediastinum,"BodyStructure, SymptomOrSign",41,0.94,mediastinal,"Failed 41 times, confidence: 0.94",TRUE
lung base,Basal segment of lung,BodyStructure,36,0.97,Lungenbasis,"Failed 36 times, confidence: 0.97",TRUE
Frontal,Coronal (qualifier value),ExaminationName,35,0.97,Frontal,"Failed 35 times, confidence: 0.97",TRUE
CT,X-Ray Computed Tomography,"ExaminationName, TreatmentName",33,0.98,CT,"Failed 33 times, confidence: 0.98",TRUE
infection,Infection,"Diagnosis, SymptomOrSign",32,0.97,Infektion,"Failed 32 times, confidence: 0.97",TRUE
base,Anatomical base,BodyStructure,31,0.95,Basis,"Failed 31 times, confidence: 0.95",TRUE
pleural,Pleura,BodyStructure,30,0.99,Pleural,"Failed 30 times, confidence: 0.99",TRUE
carina,Structure of carina,BodyStructure,29,0.98,Carina,"Failed 29 times, confidence: 0.98",TRUE
edema,Edema,"ExaminationName, SymptomOrSign",28,0.96,Ödem,"Failed 28 times, confidence: 0.96",TRUE
aspiration,Endotracheal aspiration,Diagnosis,28,0.91,Aspiration,"Failed 28 times, confidence: 0.91",TRUE
lungs,Lung,BodyStructure,27,0.96,Lungen,"Failed 27 times, confidence: 0.96",TRUE
clear,Clear,SymptomOrSign,24,1,Klar,"Failed 24 times, confidence: 1.0",TRUE
nasogastric tube,Nasogastric tube procedures,TreatmentName,23,0.98,Nasensonde,"Failed 23 times, confidence: 0.98",TRUE
female,Woman,Gender,23,1,weiblich,"Failed 23 times, confidence: 1.0",TRUE
hemidiaphragm,Structure of hemidiaphragm,BodyStructure,23,0.96,Hemidiaphragma,"Failed 23 times, confidence: 0.96",TRUE
mediastinum,Mediastinum,"BodyStructure, SymptomOrSign",22,0.91,Mediastinum,"Failed 22 times, confidence: 0.91",TRUE
examination,Physical Examination,ExaminationName,22,0.91,Untersuchung,"Failed 22 times, confidence: 0.91",TRUE
chest tube,Chest Tubes,TreatmentName,21,0.99,Thoraxdrainage,"Failed 21 times, confidence: 0.99",TRUE
male,Male population group,Gender,21,1,männlich,"Failed 21 times, confidence: 1.0",TRUE
effusions,effusion,"Diagnosis, SymptomOrSign",20,0.96,Ergüsse,"Failed 20 times, confidence: 0.96",TRUE
heart,Heart,"BodyStructure, SymptomOrSign",20,0.95,Herz,"Failed 20 times, confidence: 0.95",TRUE
hemithorax,Structure of half of thorax lateral to midsagittal plane,BodyStructure,19,0.97,Hemithorax,"Failed 19 times, confidence: 0.97",TRUE
diaphragm,Respiratory Diaphragm,BodyStructure,19,0.93,Diaphragma,"Failed 19 times, confidence: 0.93",TRUE
opacification,Opacification,SymptomOrSign,18,0.99,Trübung,"Failed 18 times, confidence: 0.99",TRUE
Heart size,heart size,SymptomOrSign,18,0.93,Herzgrösse,"Failed 18 times, confidence: 0.93",TRUE
infiltrate,Infiltration,"ExaminationName, SymptomOrSign",18,0.96,Infiltration,"Failed 18 times, confidence: 0.96",TRUE
Lung volumes,Lung Volumes,ExaminationName,18,0.89,Lungenvolumen,"Failed 18 times, confidence: 0.89",TRUE
PICC,Peripherally Inserted Central Catheter Line Insertion,TreatmentName,18,0.99,PICC,"Failed 18 times, confidence: 0.99",TRUE
thoracic spine,Thoracic spine structure,BodyStructure,17,0.99,Brustwirbelsäule,"Failed 17 times, confidence: 0.99",TRUE
PICC line,Peripherally inserted central catheter (physical object),TreatmentName,17,0.98,PICC,"Failed 17 times, confidence: 0.98",TRUE
degenerative changes,Abnormal degeneration,SymptomOrSign,16,0.96,Degenerative Veränderungen,"Failed 16 times, confidence: 0.96",TRUE
radiographs,Diagnostic radiologic examination,ExaminationName,16,0.94,Röntgenaufnahme,"Failed 16 times, confidence: 0.94",TRUE
lung bases,Basal segment of lung,BodyStructure,16,0.99,Lungenbasen,"Failed 16 times, confidence: 0.99",TRUE
NG tube,Nasogastric tube,TreatmentName,16,0.98,Nasensonde,"Failed 16 times, confidence: 0.98",TRUE
consolidations,Consolidation,SymptomOrSign,15,0.98,Konsolidierung,"Failed 15 times, confidence: 0.98",TRUE
blunting,Blunted,SymptomOrSign,14,0.99,stumpf,"Failed 14 times, confidence: 0.99",TRUE
pulmonary vascular congestion,Pulmonary vascular congestion,SymptomOrSign,14,0.91,Lungenödem,"Failed 14 times, confidence: 0.91",TRUE
study,diagnostic procedure,ExaminationName,14,0.88,Studie,"Failed 14 times, confidence: 0.88",TRUE
engorged,engorged,SymptomOrSign,13,1,geschwollen,"Failed 13 times, confidence: 1.0",TRUE
hilar,Hilar,"BodyStructure, SymptomOrSign",13,0.93,hilär,"Failed 13 times, confidence: 0.93",TRUE
lower lobe,Structure of lower lobe of lung,BodyStructure,13,0.87,Unterlappen,"Failed 13 times, confidence: 0.87",TRUE
left lower lobe,Structure of left lower lobe of lung,BodyStructure,13,0.89,Linker Unterlappen,"Failed 13 times, confidence: 0.89",TRUE
elevation,Elevation,SymptomOrSign,13,0.99,Erhöhung,"Failed 13 times, confidence: 0.99",TRUE
enlarged,Enlarged,SymptomOrSign,12,0.98,vergrössert,"Failed 12 times, confidence: 0.98",TRUE
aeration,aeration,SymptomOrSign,12,0.97,Belüftung,"Failed 12 times, confidence: 0.97",TRUE
internal jugular,"Jugular, Internal",BodyStructure,12,0.92,Vena jugularis interna,"Failed 12 times, confidence: 0.92",TRUE
right atrium,Right atrial structure,BodyStructure,11,0.89,Rechter Vorhof,"Failed 11 times, confidence: 0.89",TRUE
Port-A-Cath,Port-A-Cath,TreatmentName,11,0.94,Portkatheter,"Failed 11 times, confidence: 0.94",TRUE
right lower lobe,Structure of right lower lobe of lung,BodyStructure,11,0.97,Rechter Unterlappen,"Failed 11 times, confidence: 0.97",TRUE
chest CT,Chest CT,ExaminationName,11,0.97,Röntgenaufnahme der Brust,"Failed 11 times, confidence: 0.97",TRUE
hyperinflated,Hyperdistention,SymptomOrSign,11,0.91,überbläht,"Failed 11 times, confidence: 0.91",TRUE
neck,Neck,BodyStructure,10,0.99,Hals,"Failed 10 times, confidence: 0.99",TRUE
PA and lateral views,Views PA & lateral,ExaminationName,10,0.93,Posteroanteriore und laterale Aufnahmen,"Failed 10 times, confidence: 0.93",TRUE
upper lobe,Structure of upper lobe of lung,BodyStructure,10,0.91,Oberlappen,"Failed 10 times, confidence: 0.91",TRUE
interval change,12-lead electrocardiogram: interval change,SymptomOrSign,10,0.9,Veränderung,"Failed 10 times, confidence: 0.9",TRUE
costophrenic angle,Costophrenic angle,BodyStructure,10,0.92,Sinus costodiaphragmaticus,"Failed 10 times, confidence: 0.92",TRUE
pleural thickening,Thickening of pleura,SymptomOrSign,10,0.98,Pleuraverdickung,"Failed 10 times, confidence: 0.98",TRUE
