term,categories,failure_count,avg_confidence,translation_de,notes,verified
CHEST,"BodyStructure, ExaminationName",177,0.95,Thorax,"Failed 177 times, confidence: 0.95",TRUE
consolidation,SymptomOrSign,163,0.94,Konsolidierung,"Failed 163 times, confidence: 0.94",TRUE
PA,ExaminationName,128,0.95,Posteroanterior,"Failed 128 times, confidence: 0.95",TRUE
opacity,SymptomOrSign,96,0.99,Opazität,"Failed 96 times, confidence: 0.99",TRUE
man,Gender,88,1,Mann,"Failed 88 times, confidence: 1.0",TRUE
lung,"BodyStructure, SymptomOrSign",88,0.96,Lunge,"Failed 88 times, confidence: 0.96",TRUE
lateral views,ExaminationName,75,0.93,Lateralansicht,"Failed 75 times, confidence: 0.93",TRUE
cough,SymptomOrSign,68,0.99,Husten,"Failed 68 times, confidence: 0.99",TRUE
woman,Gender,62,1,Frau,"Failed 62 times, confidence: 1.0",TRUE
effusion,"Diagnosis, SymptomOrSign",59,0.95,Erguss,"Failed 59 times, confidence: 0.95",TRUE
LAT,ExaminationName,58,0.95,lateral ,"Failed 58 times, confidence: 0.95",TRUE
Chest radiograph,ExaminationName,56,0.98,Röntgenaufnahme der Brust,"Failed 56 times, confidence: 0.98",TRUE
radiograph,ExaminationName,55,0.97,Röntgenaufnahme,"Failed 55 times, confidence: 0.97",TRUE
opacities,SymptomOrSign,54,0.99,Opazitäten,"Failed 54 times, confidence: 0.99",TRUE
lateral,ExaminationName,48,0.94,Lateral,"Failed 48 times, confidence: 0.94",TRUE
stomach,BodyStructure,46,0.99,Magen,"Failed 46 times, confidence: 0.99",TRUE
F,Gender,46,0.97,Frau,"Failed 46 times, confidence: 0.97",TRUE
M,Gender,45,1,Mann,"Failed 45 times, confidence: 1.0",TRUE
cardiac,"BodyStructure, SymptomOrSign",41,0.98,Kardial,"Failed 41 times, confidence: 0.98",TRUE
mediastinal,"BodyStructure, SymptomOrSign",41,0.94,mediastinal,"Failed 41 times, confidence: 0.94",TRUE
lung base,BodyStructure,36,0.97,Lungenbasis,"Failed 36 times, confidence: 0.97",TRUE
Frontal,ExaminationName,35,0.97,Frontal,"Failed 35 times, confidence: 0.97",TRUE
CT,"ExaminationName, TreatmentName",33,0.98,CT,"Failed 33 times, confidence: 0.98",TRUE
infection,"Diagnosis, SymptomOrSign",32,0.97,Infektion,"Failed 32 times, confidence: 0.97",TRUE
base,BodyStructure,31,0.95,Basis,"Failed 31 times, confidence: 0.95",TRUE
pleural,BodyStructure,30,0.99,Pleural,"Failed 30 times, confidence: 0.99",TRUE
carina,BodyStructure,29,0.98,Carina,"Failed 29 times, confidence: 0.98",TRUE
edema,"ExaminationName, SymptomOrSign",28,0.96,Ödem,"Failed 28 times, confidence: 0.96",TRUE
aspiration,Diagnosis,28,0.91,Aspiration,"Failed 28 times, confidence: 0.91",TRUE
