term,total_count,translation_de,sources,verified
acute,466,akut,analysis,TRUE
acute cardiopulmonary,204,akut kardiopulmonal,analysis,TRUE
appropriate clinical setting,40,angemessenes klinisches Umfeld,analysis,TRUE
view,192,Ansicht,analysis,TRUE
bilateral,232,beidseitig,analysis,TRUE
report,1004,Bericht,analysis,TRUE
impression,814,Beurteilung,analysis,TRUE
impression no evidence,40,Beurteilung: kein Hinweis,analysis,TRUE
final report,1000,Endbericht,analysis,TRUE
focal,284,fokal,analysis,TRUE
evidence,260,Hinweis,analysis,TRUE
compared,246,im Vergleich zu,analysis,TRUE
indication,640,Indikation,analysis,TRUE
cardiomediastinal silhouette,144,kardio-mediastinale Silhouette,analysis,TRUE
cardiopulmonary,206,kardiopulmonal,analysis,TRUE
no evidence,178,kein Hinweis,analysis,TRUE
clinical setting,56,klinisches Umfeld,analysis,TRUE
silhouette,310,Silhouette,analysis,TRUE
vascular,210,vaskul�r,analysis,TRUE
comparison,864,Vergleich,analysis,TRUE
wet read,84,Vorl�ufiger Befund,analysis,TRUE
edema,28,Ödem,umls,TRUE
hyperinflated,11,überbläht,umls,TRUE
AP,14,a.p.,umls,TRUE
abdomen,9,Abdomen,umls,TRUE
CHF,25,Herzinsuffizienz,umls,TRUE
thoracic aorta,9,Aorta thoracica,umls,TRUE
Aspiration,32,Aspiration,umls,TRUE
atelectasis,129,Atelektase,umls,TRUE
bases,8,Basis,umls,TRUE
chest wall,9,Brustwand,umls,TRUE
thoracic spine,17,Brustwirbelsäule,umls,TRUE
carina,29,Carina,umls,TRUE
Surgical clips,8,chirurgische Klammern,umls,TRUE
COPD,15,COPD,umls,TRUE
cardiopulmonary disease,7,Kardiopulmonale Erkrankung,umls,TRUE
CT,33,CT,umls,TRUE
degenerative changes,19,Degenerative Veränderungen,umls,TRUE
diaphragm,19,Diaphragma,umls,TRUE
shortness of breath,23,Dyspnoe,umls,TRUE
dyspnea,15,Dyspnoe,umls,TRUE
