term,total_count,translation_de,sources,verified
acute,466,akut,analysis,True
acute cardiopulmonary,204,akut kardiopulmonal,analysis,True
appropriate clinical setting,40,angemessenes klinisches Umfeld,analysis,True
view,192,Ansicht,analysis,True
bilateral,232,beidseitig,analysis,True
report,1004,Bericht,analysis,True
impression,814,Beurteilung,analysis,True
impression no evidence,40,Beurteilung: kein Hinweis,analysis,True
final report,1000,Endbericht,analysis,True
focal,284,fokal,analysis,True
evidence,260,Hinweis,analysis,True
compared,246,im Vergleich zu,analysis,True
indication,640,Indikation,analysis,True
cardiomediastinal silhouette,144,kardio-mediastinale Silhouette,analysis,True
cardiopulmonary,206,kardiopulmonal,analysis,True
no evidence,178,kein Hinweis,analysis,True
clinical setting,56,klinisches Umfeld,analysis,True
silhouette,310,Silhouette,analysis,True
vascular,210,vaskul�r,analysis,True
comparison,864,Vergleich,analysis,True
wet read,84,Vorl�ufiger Befund,analysis,True
edema,28,Ödem,umls,True
hyperinflated,11,überbläht,umls,True
AP,14,a.p.,umls,True
abdomen,9,Abdomen,umls,True
CHF,25,Herzinsuffizienz,umls,True
thoracic aorta,9,Aorta thoracica,umls,True
Aspiration,32,Aspiration,umls,True
atelectasis,129,Atelektase,umls,True
bases,8,Basis,umls,True
chest wall,9,Brustwand,umls,True
thoracic spine,17,Brustwirbelsäule,umls,True
carina,29,Carina,umls,True
Surgical clips,8,chirurgische Klammern,umls,True
COPD,15,COPD,umls,True
cardiopulmonary disease,7,Kardiopulmonale Erkrankung,umls,True
CT,33,CT,umls,True
degenerative changes,19,Degenerative Veränderungen,umls,True
diaphragm,19,Diaphragma,umls,True
shortness of breath,23,Dyspnoe,umls,True
dyspnea,15,Dyspnoe,umls,True
sob,13,Dyspnoe,umls,True
Endotracheal tube,25,Endotrachealtubus,umls,True
vomiting,7,Erbrechen,umls,True
effusions,20,Ergüsse,umls,True
effusion,59,Erguss,umls,True
Elevation,15,Erhöhung,umls,True
fever,28,Fieber,umls,True
