term;total_count;translation_de;sources;verified
central venous catheter;10;Zentraler Venenkatheter;umls;True
female;23;weiblich;umls;True
wet read;84;Vorl�ufiger Befund;analysis;True
prior study;108;vorherige Untersuchung;analysis;True
altered mental status;9;Ver�nderter Bewusstseinszustand;umls;True
scarring;9;Vernarbung;umls;True
enlarged;12;vergrössert;umls;True
comparison;864;Vergleich;analysis;True
interval change;10;Veränderung;;True
internal jugular;12;Vena jugularis interna;;True
vascular;210;vaskul�r;analysis;True
exam;23;Untersuchung;umls;True
examination;22;Untersuchung;umls;True
lower lobe;14;Unterlappen;umls;True
tracheostomy tube;10;Trachealkan�le;umls;True
opacification;20;Trübung;umls;True
Tortuosity;11;Tortuosität;umls;True
Chest pain;43;Thoraxschmerz;umls;True
chest tube;21;Thoraxdrainage;umls;True
chest portable ap;208;Thorax, mobil, p.a.;analysis;True
chest portable;212;Thorax, mobil;analysis;True
Chest radiographs;59;Thorax-R�ntgen;umls;True
chest x-ray;12;Thorax-R�ntgen;umls;True
chest CT;12;Thorax-R�ntgen;umls;True
CHEST RADIOGRAPH;110;Thorax-R�ntgen;;True
CT chest;8;Thorax-CT;umls;True
Chest frontal;9;Thorax frontal;umls;True
CHEST;370;Thorax;umls;True
syncope;7;Synkope;umls;True
subclavian;9;subklavikulär;umls;True
Fall;9;Sturz;umls;True
status post;104;status post;analysis;True
costophrenic angle;10;Sinus costodiaphragmaticus;umls;True
silhouette;310;Silhouette;analysis;True
pain;10;Schmerzen;umls;True
rib fractures;7;Rippenfraktur;umls;True
right atrium;11;Rechter Vorhof;umls;True
right lower lobe;13;Rechter Unterlappen;umls;True
right upper lobe;9;Rechter Oberlappen;umls;True
right ventricle;9;Rechte Herzkammer;umls;True
mass;12;Raumforderung;umls;True
radiographs;21;Röntgenaufnahmen;umls;True
radiograph;58;Röntgenaufnahme;umls;True
Port-A-Cath;11;Portkatheter;;True
pneumothorax;346;Pneumothorax;umls;True
PTX;14;Pneumothorax;umls;True
pneumonia;181;Pneumonie;umls;True
pna;24;Pneumonie;umls;True
pleural thickening;10;Pleuraverdickung;umls;True
pleural;30;Pleural;umls;True
pleural effusion;150;Pleuraerguss;umls;True
pleural effusions;59;Pleuraerguss;umls;True
"pleural
 effusion";24;Pleuraerguss;umls;True
"pleural
 effusions";8;Pleuraerguss;umls;True
PICC line;17;PICC;umls;True
PICC;21;PICC;;True
PA and lateral views;10;P.a. und laterale  Aufnahmen;;True
PA;128;p.a.;umls;True
lung opacities;7;Opazitäten der Lunge;;True
opacities;54;Opazitäten;umls;True
opacity;96;Opazität;umls;True
upper lobe;10;Oberlappen;umls;True
normal limits;94;Normbereich;analysis;True
normal;11;Normal;umls;True
NG tube;16;Nasensonde;umls;True
nasogastric tube;27;Nasensonde;;True
portable ap;270;mobil, p.a.;analysis;True
mediastinum;22;Mediastinum;umls;True
mediastinal;57;mediastinal;umls;True
median sternotomy;9;Median-Sternotomie;umls;True
man;88;Mann;umls;True
M;45;Mann;umls;True
stomach;46;Magen;;True
male;22;männlich;umls;True
lymphadenopathy;7;Lymphadenopathie;umls;True
Lung volumes;27;Lungenvolumen;umls;True
"pulmonary vascular
 congestion";9;Lungen�dem;;True
Pulmonary vasculature;8;Lungengef�sse;;True
pleural fluid;9;Lungenflüssigkeit;umls;True
lung base;36;Lungenbasis;umls;True
lung bases;16;Lungenbasen;umls;True
pulmonary edema;117;Lungenödem;umls;True
"pulmonary
 edema";15;Lungenödem;umls;True
pulmonary vascular congestion;16;Lungenödem;;True
lungs;31;Lungen;umls;True
lung;90;Lunge;umls;True
left lower lobe;15;Linker Unterlappen;umls;True
lateral views;75;Lateralansichten;;True
lateral view;10;Lateralansicht;;True
lateral;48;Lateral;umls;True
LAT;58;lateral;;True
consolidation;165;Konsolidierung;umls;True
consolidations;15;Konsolidierung;umls;True
collapse;10;Kollaps;umls;True
clinical setting;56;klinisches Umfeld;analysis;True
clear;24;Klar;umls;True
no relevant change;24;keine relevanten Ver�nderungen;analysis;True
no evidence;178;kein Hinweis;analysis;True
catheter;8;Katheter;umls;True
line;7;Katheter;umls;True
cardiopulmonary disease;7;Kardiopulmonale Erkrankung;umls;True
cardiopulmonary;206;kardiopulmonal;analysis;True
cardiomegaly;62;Kardiomegalie;umls;True
cardiomediastinal silhouette;144;kardio-mediastinale Silhouette;analysis;True
CABG;15;Kardiale Revaskularisierung mit Bypass-Anastomose;umls;True
cardiac;49;Kardial;umls;True
intubation;13;Intubation;umls;True
infiltrate;18;Infiltration;umls;True
infection;35;Infektion;;True
indication;640;Indikation;analysis;True
compared;246;im Vergleich zu;analysis;True
within normal limits;94;im Normbereich;analysis;True
hypoxia;7;Hypoxie;umls;True
cough;79;Husten;umls;True
evidence;260;Hinweis;analysis;True
hilar;15;hilär;umls;True
hiatal hernia;10;Hiatushernie;umls;True
cardiac silhouette;9;Herzsilhouette;;True
CHF;25;Herzinsuffizienz;umls;True
Heart size;24;Herzgrösse;;True
Heart;30;Herz;umls;True
hemithorax;19;Hemithorax;umls;True
hemidiaphragm;23;Hemidiaphragma;umls;True
neck;10;Hals;umls;True
engorged;13;geschwollen;;True
Frontal view;10;Frontalsicht;;True
Frontal;39;Frontal;umls;True
woman;62;Frau;umls;True
F;48;Frau;umls;True
fracture;15;Fraktur;umls;True
fractures;7;Fraktur;umls;True
focal consolidation;196;fokale Konsolidierung;analysis;True
focal;284;fokal;analysis;True
fever;28;Fieber;umls;True
Elevation;15;Erhöhung;umls;True
effusion;59;Erguss;umls;True
effusions;20;Ergüsse;umls;True
vomiting;7;Erbrechen;umls;True
Endotracheal tube;25;Endotrachealtubus;umls;True
final report;1000;Endbericht;analysis;True
shortness of breath;23;Dyspnoe;umls;True
dyspnea;15;Dyspnoe;umls;True
sob;13;Dyspnoe;umls;True
