term,count,cum_share
Chest,375,0.176056338028169
Consolidation,180,0.2605633802816901
Male population group,155,0.3333333333333333
Abnormally opaque structure (morphologic abnormality),150,0.40375586854460094
Woman,134,0.4666666666666667
Pulmonary artery pressure,128,0.5267605633802817
Lung,125,0.5854460093896714
Chest radiograph,111,0.6375586854460094
Views lateral,85,0.6774647887323944
Diagnostic radiologic examination,82,0.715962441314554
Coughing,80,0.7535211267605634
Mediastinum,80,0.7910798122065728
effusion,79,0.828169014084507
Heart,72,0.8619718309859155
Basal segment of lung,65,0.8924882629107981
"ORC3 protein, human",58,0.9197183098591549
Lateral,48,0.9422535211267605
Stomach,46,0.963849765258216
Coronal (qualifier value),39,0.9821596244131455
X-Ray Computed Tomography,38,1.0
