term,count
Chest,375
Consolidation,180
Male population group,155
Abnormally opaque structure (morphologic abnormality),150
Woman,134
Pulmonary artery pressure,128
Lung,125
Chest radiograph,111
Views lateral,85
Diagnostic radiologic examination,82
Coughing,80
Mediastinum,80
effusion,79
Heart,72
Basal segment of lung,65
"ORC3 protein, human",58
Lateral,48
Stomach,46
Coronal (qualifier value),39
X-Ray Computed Tomography,38
Infection,35
Anatomical base,31
Structure of carina,30
Chest Tubes,30
Pleura,30
Endotracheal aspiration,29
Lung Volumes,29
Nasogastric tube procedures,28
Physical Examination,27
Structure of hemidiaphragm,27
heart size,26
Edema,26
Pulmonary vascular congestion,25
Chest CT,24
Peripherally inserted central catheter (physical object),24
Clear,24
Peripherally Inserted Central Catheter Line Insertion,24
Abnormal degeneration,22
Structure of half of thorax lateral to midsagittal plane,22
Opacification,22
Respiratory Diaphragm,21
Thoracic spine structure,20
Structure of lower lobe of lung,18
Blunted,18
Infiltration,17
Nasogastric tube,17
Structure of left lower lobe of lung,16
Elevation,15
Hyperdistention,15
aeration,15
Hilar,15
Structure of right lower lobe of lung,14
12-lead electrocardiogram: interval change,14
Costophrenic angle,14
diagnostic procedure,14
Structure of upper lobe of lung,13
engorged,13
"Jugular, Internal",12
Structure of right upper lobe of lung,12
Chest wall structure,12
Thickening of pleura,12
Right atrial structure,12
Enlarged,12
Neck,11
Tortuosity,11
Views frontal,11
Tracheostomy tube,11
Port-A-Cath,11
Views PA & lateral,10
Pleural fluid,10
Evaluation,10
Right ventricular structure,10
Cicatrix,10
Thoracic aorta,10
Basilar,9
Subclavicular approach,9
Median Sternotomy,9
Vasculature of lung,9
Surgical Clips,9
Cardiac shadow viewed radiologically,9
Abdomen,9
Anterior chest wall structure,9
Abnormal mental state,9
Bone structure of clavicle,9
CT angiography of thorax with contrast,8
Obscure,8
Lesion,8
Bone structure of rib,8
Widening,8
catheter device,8
Weakness,7
findings aspects,7
HEART PROBLEM,7
Lung opacity,7
Hypoxia,7
Normal limits,7
Structure of apex of lung,7
INFECTIOUS PROCESS,7
Tube feeding of patient,7
Intravascular line,7
Structure of surface region of lateral chest wall,7
Nodular Opacity,7
Normal size,7
Tracheal Extubation,6
Structure of apex of heart,6
Mediastinal Emphysema,6
Vertebral column,6
Tip,6
Sepsis,6
Appearance,6
pulmonary edema interstitial,6
Acute pneumonia,6
Calcification,6
Tortuous,6
Changing,6
Hematoma,5
Cardiac border,5
pigtail catheters,5
Hyperemia,5
"Support, device",5
Structure of brachiocephalic vein,5
Esophagus,5
biomedical tube device,5
Therapeutic procedure,5
Structure of left upper lobe of lung,5
Biopsy,5
chest tube placement,5
Lead Device,5
Nodule,5
Pathological accumulation of air in tissues,5
Rotated,5
Rib 6,5
Skeletal bone,5
Calcinosis,5
Trachea,5
Aorta,5
Congestion,5
Structure of body of thoracic vertebra,4
drainage of pleura,4
Antibiotics,4
aVR,4
orogastric tube,4
View AP portable,4
Tension,4
Hemothorax,4
Coronary Artery Disease,4
Axilla,4
heart size normal,4
Does pull,4
Neoplasm Metastasis,4
PET/CT scan,4
Arteries,4
Peribronchial Cuffing,4
Rhonchi,4
"Plumbum metallicum, homeopathic preparation",4
Hilum,4
Spatial Displacement,4
Esophagogastric Junction,4
Intra-Aortic Balloon Pumping,4
Osteophyte,3
Mediastinal shift,3
Calcified (qualifier value),3
Lung consolidation,3
Reticular,3
Missing Value Reason,3
"Catheter, drainage",3
Multisection:Find:Pt:Abdomen+Pelvis:Doc:CT,3
Apical,3
Wiring of sternum,3
Dextroscoliosis,3
dual-chamber pacemaker (procedure),3
Prominent,3
Contour form,3
Fibrosis,3
Aortic arch structure,3
Deformity,3
Multiple Pulmonary Nodules,3
Evaluation Interval,3
Lower Extremity,3
Paroxysmal nocturnal dyspnea,3
View AP upright,3
Abnormal pleura morphology,3
Malignant neoplasm of breast,3
Joint structure of shoulder region,3
x-ray of chest: alveolar air bronchogram (procedure),3
Clip,3
Descending thoracic aorta,3
Zone of lung,3
Lung field,3
Heart Atrium,3
Symptoms,3
Bypass surgery,3
mediastinal lipomatosis,3
x-ray of toe: rotation deformity,3
Structure of middle lobe of right lung,3
Coronary artery stent (device),3
Right lower zone pneumonia,3
"Catheterization, Central Venous",3
Bronchial wall thickening,3
lobe,3
Descending aorta,3
Prominent vasculature,3
Views AP & lateral,3
Process,3
Coumadin,3
Structure of thoracic inlet,3
Interstitial marker,3
Density above reference range,3
Pulmonary Infiltrate,2
Transjugular intrahepatic portosystemic shunt (procedure),2
Acute pulmonary embolism,2
Central line placement,2
C5 innervation,2
size,2
Lateral projection,2
Vascular clip,2
Views portable,2
Neutropenia,2
Pneumocystis Infections,2
Fluid Therapy,2
Left lower zone pneumonia,2
Eventration,2
Replacement of ascending aorta,2
Pulmonary opacity,2
Lung Problem,2
Oxygen saturation measurement,2
Magnification,2
Administration Method - Infiltrate,2
PULMONARY PROCESS,2
placement of tube,2
Magnetic Resonance Imaging,2
Hemidiaphragm elevation,2
Elevated right hemidiaphragm,2
Steroids,2
infective pneumonia,2
Chest tube removal,2
Neoplasms,2
Nodule of lung,2
Study Terminated,2
Sclerosis,2
Major fissure,2
"Aneurysm, Ascending Aorta",2
"Thoracic Surgery, Video-Assisted",2
Bronchiolitis,2
Upper Extremity,2
diaphragm flattened,2
Hemodialysis catheter,2
Zone,2
Structure of subclavian vein,2
density,2
Drainage procedure,2
Structure of substernal region,2
Encephalopathies,2
Nasoduodenal feeding tube,2
Replacement of mitral valve (procedure),2
Breast,2
Discoid atelectasis,2
Pneumopericardium,2
Structure of right upper quadrant of abdomen,2
Lines - QueryQuantityUnit,2
Therapeutic diuresis,2
Supraclavicular approach,2
Trauma,2
Coils (formation),2
Hydropneumothorax,2
Dilatation of pulmonary artery (disorder),2
trach,2
Pneumoperitoneum,2
Tracheostomy procedure,2
Stenting,2
Malaise,2
Ventricle,2
Chest pressure,2
EMPHYSEMATOUS CHANGE,2
Swelling,2
Kidney Transplantation,2
Left ventricular structure,2
film - layer,2
Duodenum,2
Monitor Device,2
