model,W_stat,p_raw,p_holm,median_diff,effect_size_r
gpt-oss 120b,50934.0,0.0002981536126540286,0.002981536126540286,-0.005311191082000732,-0.16175263916035806
4b_nodict_base,59468.0,0.3287197987540279,1.0,0.001094430685043335,0.04367916190482034
12b_nodict_base,53880.0,0.006820549552036769,0.061384945968330926,-0.003929764032363892,-0.12099280039836983
4b_dict_base,61133.0,0.6443775408589096,1.0,-0.002818971872329712,-0.02064279682039656
12b_dict_base,60200.0,0.4531140783398009,1.0,0.001437842845916748,0.033551462660497085
4b_dict_twoshot,58859.0,0.243976529393241,1.0,0.0010977387428283691,0.05210507562038432
12b_dict_twoshot,62396.0,0.9435196894916,1.0,-0.00033465027809143066,-0.0031683649275273526
4b_qa_twoshot,56774.0,0.07027236709421095,0.4516966527858907,0.005034297704696655,0.08095241568105918
12b_qa_twoshot,56301.0,0.05040801824018797,0.4032641459215038,0.0028522610664367676,0.08749668035669424
med42,50559.0,0.00018927688950184126,0.0020820457845202537,-0.008333474397659302,-0.16694100967487374
deepseek-r1,56650.0,0.06452809325512725,0.4516966527858907,0.0016793608665466309,0.08266803686452373
gemini-3,40936.0,1.9458885739727707e-11,2.335066288767325e-10,0.008906126022338867,0.30008151718067716
